"No.","Time","Source","Destination","Protocol","Length","Info"
"1","","118.138.122.172","52.123.225.194","TCP","54","27053  >  443 [FIN, ACK] Seq=1 Ack=1 Win=1024 Len=0"
"2","0.010338800","52.123.225.194","118.138.122.172","TCP","54","443  >  27053 [FIN, ACK] Seq=1 Ack=2 Win=255 Len=0"
"3","0.000071400","118.138.122.172","52.123.225.194","TCP","54","27053  >  443 [ACK] Seq=2 Ack=2 Win=1024 Len=0"
"4","1.017252300","142.250.207.14","118.138.122.172","UDP","79","443  >  59387 Len=37"
"5","0.009475700","118.138.122.172","72.153.5.96","TCP","66","31954  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"6","0.004696900","118.138.122.172","142.250.207.14","UDP","75","59387  >  443 Len=33"
"7","0.019958300","118.138.122.172","72.153.5.96","TCP","66","31955  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"8","0.214256400","72.153.5.96","118.138.122.172","TCP","66","443  >  31955 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1250 WS=256 SACK_PERM"
"9","0.000130600","118.138.122.172","72.153.5.96","TCP","54","31955  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"10","0.001581600","118.138.122.172","72.153.5.96","TLSv1.2","274","Client Hello (SNI=array502.prod.do.dsp.mp.microsoft.com)"
"11","0.026957200","72.153.5.96","118.138.122.172","TCP","66","443  >  31954 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1250 WS=256 SACK_PERM"
"12","0.000116700","118.138.122.172","72.153.5.96","TCP","54","31954  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"13","0.005051500","118.138.122.172","72.153.5.96","TLSv1.2","274","Client Hello (SNI=array502.prod.do.dsp.mp.microsoft.com)"
"14","0.183173300","72.153.5.96","118.138.122.172","TCP","1304","443  >  31955 [ACK] Seq=1 Ack=221 Win=4194560 Len=1250 [TCP PDU reassembled in 15]"
"15","0.000000000","72.153.5.96","118.138.122.172","TLSv1.2","1235","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"16","0.000128000","118.138.122.172","72.153.5.96","TCP","54","31955  >  443 [ACK] Seq=221 Ack=2432 Win=65280 Len=0"
