"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.0.0.216","23.218.42.32","UDP","71","55931  >  443 Len=29"
"2","0.028025","23.218.42.32","10.0.0.216","UDP","66","443  >  55931 Len=24"
"3","0.109059","10.0.0.216","142.251.42.106","UDP","71","56813  >  443 Len=29"
"4","0.149003","142.251.42.106","10.0.0.216","UDP","66","443  >  56813 Len=24"
"5","0.841247","172.64.148.235","10.0.0.216","TLSv1.2","78","Application Data"
"6","0.841395","10.0.0.216","172.64.148.235","TLSv1.2","82","Application Data"
"7","0.843369","172.64.148.235","10.0.0.216","TCP","60","443  >  60567 [ACK] Seq=25 Ack=29 Win=16 Len=0"
"8","2.301967","10.0.0.216","3.124.160.96","ICMP","74","Echo (ping) request  id=0x0001, seq=1216/49156, ttl=128 (no response found!)"
"9","2.369348","TechnicolorD_a5:3d:7c","Broadcast","ARP","60","Who has 10.0.0.101? Tell 10.0.0.138"
"10","2.610628","10.0.0.102","10.0.0.255","UDP","348","49718  >  5002 Len=306"
"11","2.616337","10.0.0.88","10.0.0.255","UDP","348","51245  >  5002 Len=306"
"12","2.821536","10.0.0.216","3.124.160.96","TCP","66","62010  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"13","3.062556","3.124.160.96","10.0.0.216","TCP","66","443  >  62010 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1460 SACK_PERM WS=256"
"14","3.062650","10.0.0.216","3.124.160.96","TCP","54","62010  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"15","3.062752","10.0.0.216","3.124.160.96","TCP","54","62010  >  443 [FIN, ACK] Seq=1 Ack=1 Win=65536 Len=0"
"16","3.303865","3.124.160.96","10.0.0.216","TCP","60","443  >  62010 [FIN, ACK] Seq=1 Ack=2 Win=27136 Len=0"
"17","3.303919","10.0.0.216","3.124.160.96","TCP","54","62010  >  443 [ACK] Seq=2 Ack=2 Win=65536 Len=0"
"18","3.733026","MicroStarINT_81:18:94","Broadcast","ARP","42","Who has 10.0.0.191? Tell 10.0.0.216"
"19","3.845891","Intel_80:04:a3","MicroStarINT_81:18:94","ARP","60","10.0.0.145 is at e4:60:17:80:04:a3"
"20","4.313231","MicroStarINT_81:18:94","Broadcast","ARP","42","Who has 10.0.0.191? Tell 10.0.0.216"
"21","4.408693","63.182.85.211","10.0.0.216","TCP","1514","443  >  57066 [ACK] Seq=1 Ack=1 Win=126 Len=1460 [TCP segment of a reassembled PDU]"
"22","4.409907","63.182.85.211","10.0.0.216","TCP","1514","443  >  57066 [ACK] Seq=1461 Ack=1 Win=126 Len=1460 [TCP segment of a reassembled PDU]"
"23","4.409921","10.0.0.216","63.182.85.211","TCP","54","57066  >  443 [ACK] Seq=1 Ack=2921 Win=256 Len=0"
