"REGISTRATIONNO","ZONEID","DAMAGESEVERITYID","ERRORCODE","NUMBEROFACCIDENTS"
"Car12","ZoneD",5,"Error001",1
"Car26","ZoneD",1,"Error002",9
"Car25","ZoneD",1,"Error002",9
"Car19","ZoneD",2,"Error001",1
"Car11","ZoneA",3,"Error005",1
"Car12","ZoneD",2,"Error003",1
"Car14","ZoneB",4,"Error003",1
"Car28","ZoneC",1,"Error002",11
"Car18","ZoneB",2,"Error005",2
"Car30","ZoneD",1,"Error002",4
"Car06","ZoneD",5,"Error001",2
"Car23","ZoneA",1,"Error002",13
"Car14","ZoneA",2,"Error005",1
"Car27","ZoneA",5,"Error005",1
"Car12","ZoneD",5,"Error004",2
"Car14","ZoneA",3,"Error001",2
"Car10","ZoneA",4,"Error003",1
"Car05","ZoneB",4,"Error005",1
"Car02","ZoneC",5,"Error005",2
"Car20","ZoneB",5,"Error004",1
"Car15","ZoneA",3,"Error004",1
"Car03","ZoneB",2,"Error003",1
"Car18","ZoneC",5,"Error001",1
"Car16","ZoneB",4,"Error003",2
"Car18","ZoneD",1,"Error002",1
"Car13","ZoneA",5,"Error001",1
"Car19","ZoneA",2,"Error003",1
"Car06","ZoneD",3,"Error004",2
"Car10","ZoneB",3,"Error003",1
"Car13","ZoneB",3,"Error003",1
"Car09","ZoneB",5,"Error003",1
"Car16","ZoneD",4,"Error003",1
"Car17","ZoneD",5,"Error005",1
"Car01","ZoneC",5,"Error005",1
"Car02","ZoneD",1,"Error002",1
"Car20","ZoneA",3,"Error001",1
"Car06","ZoneA",3,"Error003",1
"Car14","ZoneC",3,"Error001",1
"Car10","ZoneB",4,"Error004",1
"Car12","ZoneB",5,"Error003",1
"Car16","ZoneC",3,"Error005",2
"Car01","ZoneA",3,"Error001",2
"Car19","ZoneD",5,"Error005",1
"Car14","ZoneD",4,"Error005",1
"Car03","ZoneA",2,"Error001",1
"Car11","ZoneC",2,"Error005",1
"Car07","ZoneB",5,"Error004",1
"Car13","ZoneA",2,"Error003",2
"Car03","ZoneB",2,"Error004",1
"Car05","ZoneB",3,"Error003",1
"Car18","ZoneD",4,"Error004",1
"Car03","ZoneB",3,"Error004",1
"Car13","ZoneA",5,"Error005",2
"Car18","ZoneC",5,"Error004",1
"Car09","ZoneC",5,"Error003",1
"Car12","ZoneC",4,"Error004",1
"Car05","ZoneB",2,"Error003",1
"Car12","ZoneA",4,"Error003",1
"Car01","ZoneB",2,"Error004",1
"Car10","ZoneD",2,"Error001",1
"Car13","ZoneB",2,"Error003",1
