"BOOKINGMONTHID","FACULTYID","AGEGROUPID","CARBODYID","NUMBEROFBOOKINGS"
"201601","FIT",1,2,6
"202102","FIT",2,3,5
"201907","FIT",3,1,1
"202003","SCI",2,1,6
"201910","SCI",2,2,3
"201509","ENG",3,3,1
"202012","ENG",2,1,8
"201912","SCI",1,2,4
"201604","ENG",2,2,4
"202003","FIT",1,2,5
"201802","FIT",2,2,6
"201707","FIT",2,1,8
"201601","ENG",1,3,10
"201804","BUS",1,2,2
"201911","ENG",1,1,7
"202111","ENG",1,3,7
"201701","FIT",2,3,3
"201707","ENG",2,2,4
"201512","ENG",2,3,4
"201606","ENG",1,2,3
"201611","ENG",1,1,7
"201905","FIT",3,2,2
"201904","ART",1,2,5
"201605","SCI",2,1,4
"201608","SCI",1,2,5
"201905","FIT",1,3,4
"201909","ENG",1,1,4
"201502","SCI",1,1,5
"202111","ENG",2,3,5
"201706","SCI",1,1,2
"201706","BUS",2,3,2
"201511","FIT",1,3,3
"201907","SCI",1,1,3
"201802","FIT",2,1,11
"202002","FIT",2,1,14
"201906","ENG",2,3,6
"201908","FIT",2,2,9
"201601","SCI",2,3,4
"202009","ART",1,3,4
"201506","ART",1,2,2
"202001","ENG",1,1,3
"201612","FIT",1,3,5
"201903","BUS",2,3,5
"201511","SCI",2,1,7
"201810","FIT",2,3,2
"202008","ENG",1,2,6
"201502","ENG",1,2,4
"201712","ENG",1,2,9
"202102","SCI",1,2,2
"201809","SCI",2,3,2
"201501","FIT",2,1,6
"201702","FIT",1,3,2
"201707","ART",2,2,1
"201811","ART",1,3,1
"202003","FIT",2,3,7
"201803","ENG",1,2,3
"201610","FIT",1,1,7
"201708","SCI",2,2,3
"201501","FIT",3,1,3
"201908","ART",2,3,3
"202009","ENG",2,3,4
"202110","ENG",2,1,10
"201807","ART",2,3,5
"201911","FIT",1,1,3
"201602","SCI",1,1,4
"201611","FIT",1,2,3
"202104","FIT",1,3,3
"201712","SCI",2,3,4
"201504","SCI",2,3,5
"202012","ENG",1,1,3
"201509","SCI",1,2,3
"201604","FIT",1,3,8
"202108","SCI",2,3,7
"201902","ENG",1,1,3
"201807","ENG",2,1,6
"201708","ENG",2,1,6
"201501","ENG",1,1,8
"202112","SCI",2,2,5
"201605","SCI",2,3,3
"201903","ENG",2,2,5
"202106","ENG",1,3,3
"201812","FIT",2,2,7
"201612","FIT",2,2,7
"201509","ART",2,2,5
"202002","FIT",1,3,6
"202001","ENG",1,3,10
"201912","BUS",1,1,2
"201602","SCI",2,3,3
"202101","ENG",2,2,3
"201604","ENG",1,3,4
"202012","FIT",2,3,5
"202109","SCI",2,3,4
"202005","ART",2,2,3
"202112","ENG",2,1,7
"201507","SCI",1,1,5
"201805","ENG",2,3,6
"201511","SCI",1,2,4
"201804","SCI",1,1,4
"201910","SCI",2,3,5
"201903","ART",2,3,4
"201608","ENG",1,3,6
"201810","ART",2,2,1
"201903","BUS",1,1,5
"201605","BUS",1,3,3
"201806","ART",2,1,2
"201601","ART",2,3,5
"201702","ENG",1,1,6
"201808","FIT",2,2,6
"201704","BUS",2,2,3
"201911","ENG",2,1,4
"201606","BUS",2,2,3
"201707","FIT",2,2,6
"201803","FIT",2,1,4
"201705","ENG",1,1,4
"202111","FIT",1,3,4
"201908","BUS",1,2,2
"201906","FIT",1,2,4
"201705","BUS",2,1,3
"202110","ART",2,2,5
"201805","SCI",3,2,2
"201702","ENG",2,3,2
"202001","SCI",2,1,6
"202103","ART",2,2,4
"201508","ART",2,1,5
"201803","ENG",2,2,4
"201911","BUS",2,3,4
"201512","ENG",1,2,8
"201703","ART",2,1,2
"201608","FIT",2,2,7
"202105","ENG",2,1,4
"202110","SCI",1,3,6
"201805","SCI",3,3,2
"201802","FIT",3,1,2
"202011","FIT",1,1,6
"201604","SCI",3,3,1
"201904","SCI",3,1,1
"201911","SCI",2,1,10
"201806","SCI",2,3,4
"201909","SCI",2,3,4
"201811","FIT",2,1,9
"201908","BUS",2,2,4
"202112","ART",1,1,3
"201611","FIT",3,1,1
"201804","ENG",2,1,8
"202005","BUS",1,1,1
"202007","ART",1,1,3
"201512","SCI",2,2,5
"201804","ENG",2,2,3
"201901","BUS",2,2,4
"202002","BUS",2,2,2
"201506","ENG",1,2,5
"201712","ENG",1,3,3
"202108","BUS",1,1,2
"201603","ENG",1,2,3
"201912","SCI",2,2,2
"201501","ART",2,2,4
"201902","BUS",2,3,2
"202008","SCI",3,2,2
"201807","FIT",1,3,4
"201502","SCI",3,1,3
"201512","ART",1,2,2
"201512","ART",1,3,3
"201802","ENG",1,2,3
"201702","SCI",1,2,1
"201603","SCI",1,1,5
"201810","FIT",2,1,3
"201809","BUS",1,3,1
"201909","SCI",1,1,3
"201609","FIT",1,1,4
"202104","BUS",1,2,2
"201702","FIT",2,3,7
"201908","SCI",2,3,4
"201609","ENG",2,2,3
"201910","ART",2,2,4
"201505","BUS",2,3,3
"201612","SCI",1,1,4
"201810","SCI",1,1,5
"201607","SCI",1,2,1
"201903","FIT",1,2,4
"201606","BUS",2,1,3
"202011","BUS",2,2,1
"201603","SCI",1,3,6
"201504","FIT",1,1,4
"201504","FIT",3,2,1
"202008","ENG",2,2,5
"201506","FIT",1,3,5
"202007","ENG",2,3,7
"202103","SCI",2,2,6
"202109","FIT",2,2,4
"202011","FIT",3,3,2
"201703","SCI",1,2,6
"201811","ART",1,2,2
"201907","ENG",1,2,3
"202108","ART",2,3,3
"201702","SCI",2,1,5
"202106","ART",2,2,3
"201708","SCI",2,1,2
"201803","BUS",2,2,3
"202012","ENG",2,3,6
"201910","SCI",3,2,1
"201608","FIT",2,1,6
"201902","SCI",1,1,5
"201905","ART",1,1,4
"201708","FIT",3,2,2
"201509","SCI",1,3,7
"201504","SCI",2,1,6
"201904","SCI",3,2,2
"201907","ART",1,3,2
"201804","SCI",3,1,2
"202110","FIT",1,1,3
"202005","SCI",1,1,1
"201705","BUS",1,3,4
"201605","ART",2,3,3
"202007","FIT",2,1,5
"202007","SCI",2,1,2
"202007","BUS",1,1,1
"201906","BUS",2,1,2
"201603","FIT",3,3,4
"201901","ART",2,3,1
"202012","BUS",2,1,3
"201811","ENG",1,3,5
"202002","FIT",2,2,2
"201506","SCI",1,1,2
"201610","ENG",2,3,2
"201903","ENG",1,2,2
"201507","ENG",1,2,7
"201605","BUS",2,1,4
"201502","FIT",1,1,4
"201605","SCI",3,1,2
"201606","SCI",3,1,3
"201701","ENG",1,3,3
"201901","SCI",1,3,3
"201709","SCI",3,3,3
"201705","BUS",2,2,5
"201911","FIT",3,3,3
"201805","SCI",3,1,3
"201803","FIT",1,1,3
"201804","ART",1,2,2
"201710","BUS",2,1,3
"201905","FIT",1,1,3
"201508","FIT",3,2,2
"202009","BUS",2,2,2
"201901","ART",2,2,5
"201807","ART",2,2,1
"201504","SCI",3,3,2
"202111","ART",2,2,3
"201609","FIT",2,3,5
"201911","ART",2,1,1
"201809","ENG",2,3,2
"201907","SCI",2,2,3
"202006","ART",2,3,3
"202006","SCI",3,1,2
"201911","FIT",1,2,6
"201509","BUS",2,3,2
"201512","BUS",2,1,3
"201808","ENG",1,3,2
"201704","BUS",2,1,3
"202002","ENG",2,1,4
"202107","ENG",1,1,3
"201606","SCI",3,2,1
"201604","ART",2,3,3
"201712","FIT",2,1,2
"201806","FIT",1,3,5
"202011","ART",2,3,3
"201710","ENG",2,2,5
"202110","FIT",3,1,1
"201801","BUS",2,3,3
"201611","ART",1,2,2
"201906","ENG",3,2,1
"201609","ENG",3,2,1
"201802","BUS",2,1,2
"201703","ENG",1,3,2
"201609","FIT",3,1,1
"202102","BUS",2,3,2
"202109","FIT",3,2,1
"202105","BUS",2,3,2
"201606","SCI",1,3,1
"201709","ENG",3,3,1
"201901","FIT",2,1,2
"201507","SCI",3,1,3
"201607","SCI",2,3,5
"201904","SCI",1,2,3
"201601","FIT",3,3,1
"201908","FIT",3,1,1
"201909","SCI",1,2,3
"202008","BUS",2,3,3
"201804","ENG",3,3,1
"202108","FIT",1,3,1
"201606","ART",1,1,2
"201609","ENG",3,3,1
"201912","SCI",2,3,4
"201806","ENG",2,3,3
"202106","ART",2,1,3
"201504","SCI",3,2,1
"201511","ART",1,1,2
"202008","ART",2,1,2
"201702","SCI",1,1,3
"201807","ENG",3,1,1
"201612","FIT",3,2,1
"202101","ART",2,2,1
"201801","BUS",1,2,1
"202003","SCI",1,2,2
"201505","SCI",3,2,1
"201803","SCI",3,2,1
"201710","BUS",1,3,2
"201906","FIT",2,2,2
"201805","BUS",2,1,3
"201908","BUS",2,1,1
"202109","FIT",3,3,1
"201903","BUS",2,2,1
"202109","BUS",2,3,1
"201704","ENG",1,2,3
"201601","SCI",2,1,2
"201510","ENG",3,3,1
"201712","BUS",2,3,1
"202010","ART",2,2,2
"201912","ENG",1,2,1
"201802","FIT",1,1,1
"202110","ENG",3,3,1
"201807","ENG",3,2,1
"202105","ART",1,2,2
"201708","BUS",2,1,1
"201507","SCI",2,3,1
"201610","BUS",1,2,1
"201703","ART",2,2,2
"202004","BUS",2,3,1
"201906","BUS",1,3,1
"201505","ART",1,2,1
"201802","FIT",3,3,1
"201908","ART",2,2,3
"201609","FIT",2,1,6
"201902","ENG",2,3,6
"201805","SCI",2,1,7
"201709","ENG",1,2,8
"201810","SCI",3,3,2
"201702","SCI",3,3,6
"201601","FIT",2,2,10
"201811","ART",2,1,5
"201704","ENG",1,1,5
"201710","ENG",3,2,2
"202103","FIT",2,3,7
"201610","ART",1,1,2
"201910","ART",1,3,4
"201704","SCI",1,3,3
"202003","SCI",3,2,1
"202102","SCI",2,3,4
"201603","FIT",2,1,8
"201701","ENG",2,1,4
"201502","ENG",2,3,4
"201605","FIT",2,1,6
"201906","ENG",1,2,3
"202001","SCI",3,3,3
"201505","ENG",2,3,5
"201707","SCI",2,1,4
"201710","ENG",2,3,7
"201903","SCI",3,3,3
"202109","ART",1,3,2
"202105","FIT",3,2,3
"201611","FIT",3,3,1
"201806","SCI",3,2,2
"201803","FIT",1,2,4
"202001","SCI",1,3,9
"201809","FIT",2,1,8
"202009","SCI",3,1,2
"201803","ART",1,2,3
"201910","SCI",2,1,3
"202001","FIT",2,2,7
"201812","ART",2,1,2
"202011","BUS",2,3,1
"202012","FIT",2,2,4
"202006","SCI",1,1,4
"201801","ENG",2,2,7
"202106","ENG",1,2,6
"202003","SCI",1,1,6
"202006","ENG",1,3,6
"201501","FIT",1,2,5
"201909","BUS",2,1,6
"202103","FIT",2,2,4
"202110","FIT",2,3,5
"202006","BUS",2,2,2
"202108","BUS",2,2,3
"202007","SCI",2,3,4
"201904","FIT",2,2,6
"202101","FIT",2,1,15
"201811","BUS",2,2,1
"201704","SCI",3,3,1
"201505","ART",2,3,3
"201612","SCI",1,2,3
"201804","SCI",2,1,3
"201608","BUS",2,2,5
"202004","ENG",2,3,7
"202003","ART",1,2,3
"202109","ENG",1,1,5
"201506","FIT",1,2,6
"201902","ART",2,1,2
"201705","FIT",1,3,10
"201904","SCI",2,1,6
"201501","BUS",2,3,6
"201901","BUS",2,1,5
"202002","SCI",1,3,6
"201703","ENG",2,3,7
"202111","SCI",2,2,6
"202010","FIT",3,3,2
"202112","ENG",2,3,3
"201907","FIT",1,1,6
"201911","ART",1,1,1
"202102","ART",2,1,3
"202003","ENG",1,3,8
"201801","ENG",1,2,5
"202008","BUS",1,3,1
"201801","SCI",2,3,3
"202012","SCI",1,3,3
"201908","FIT",2,3,8
"202010","FIT",1,3,4
"201712","BUS",1,3,1
"201908","FIT",1,3,6
"201904","FIT",1,3,6
"201505","SCI",2,3,4
"202110","SCI",1,2,7
"201710","BUS",2,3,5
"201812","BUS",1,3,3
"201703","ENG",3,2,2
"201510","ENG",2,3,8
"201603","ART",2,3,5
"201510","SCI",2,3,3
"201809","SCI",1,2,4
"202001","ART",2,2,5
"201508","ENG",1,2,4
"201904","FIT",2,3,6
"201703","SCI",2,3,5
"201605","FIT",2,3,5
"201505","FIT",3,3,3
"201605","ENG",1,1,6
"201701","ENG",2,2,1
"202112","FIT",2,1,5
"201808","BUS",2,3,3
"202105","SCI",2,3,6
"201506","FIT",2,1,3
"201905","ENG",2,2,6
"201903","SCI",2,3,7
"201704","ART",1,2,3
"202109","FIT",1,1,6
"201501","FIT",1,1,4
"201807","ART",1,2,5
"202111","ART",1,1,3
"201502","ENG",2,1,12
"201508","ART",2,2,5
"201510","FIT",2,1,10
"201601","ART",1,3,3
"202005","ENG",3,3,1
"201709","FIT",1,3,6
"201903","FIT",2,3,3
"202009","SCI",1,3,3
"201901","SCI",1,2,6
"201508","SCI",2,1,5
"201511","ENG",1,1,7
"201610","BUS",2,3,1
"201701","BUS",2,2,5
"201503","SCI",2,1,3
"201812","FIT",1,3,2
"201809","BUS",2,3,2
"201901","ENG",1,3,7
"201804","ENG",1,1,4
"201804","FIT",1,2,4
"202004","ENG",1,1,2
"202107","ART",1,1,2
"201510","SCI",3,3,1
"201504","FIT",2,2,4
"201908","ENG",2,3,6
"201902","SCI",2,3,4
"201806","SCI",2,1,5
"201711","ART",1,2,3
"202010","ENG",2,3,8
"201508","FIT",2,3,10
"201801","ENG",2,3,4
"202105","ENG",3,3,2
"201611","ENG",1,2,4
"201704","ENG",2,2,4
"201503","FIT",1,1,4
"201606","SCI",2,1,6
"201706","FIT",1,1,11
"201807","SCI",3,3,4
"201707","FIT",1,3,8
"202012","SCI",2,2,6
"201912","ART",1,1,4
"201611","ART",2,2,2
"201710","SCI",1,1,12
"201805","ENG",3,3,1
"201802","ENG",2,2,1
"201704","FIT",1,1,3
"201504","ART",1,3,4
"201505","FIT",1,3,7
"201906","ART",2,2,5
"202101","ART",2,3,5
"201508","ART",1,1,2
"201702","BUS",2,3,3
"201901","SCI",2,3,5
"201502","FIT",1,2,3
"202012","SCI",3,1,2
"201808","SCI",2,3,7
"202006","BUS",2,1,3
"201709","FIT",3,2,2
"202112","SCI",2,1,2
"201701","FIT",2,2,8
