"BOOKINGMONTHID","BOOKINGMONTH","BOOKINGYEAR"
"202009","09","2020"
"201609","09","2016"
"201810","10","2018"
"201611","11","2016"
"202106","06","2021"
"202010","10","2020"
"201705","05","2017"
"201707","07","2017"
"201702","02","2017"
"201604","04","2016"
"201703","03","2017"
"202108","08","2021"
"201605","05","2016"
"201906","06","2019"
"202104","04","2021"
"201901","01","2019"
"202004","04","2020"
"201710","10","2017"
"201701","01","2017"
"201806","06","2018"
"201602","02","2016"
"201607","07","2016"
"201706","06","2017"
"201902","02","2019"
"202011","11","2020"
"201811","11","2018"
"201501","01","2015"
"202001","01","2020"
"201503","03","2015"
"201506","06","2015"
"201610","10","2016"
"202008","08","2020"
"201511","11","2015"
"201908","08","2019"
"201910","10","2019"
"201801","01","2018"
"202007","07","2020"
"201709","09","2017"
"202102","02","2021"
"201608","08","2016"
"201708","08","2017"
"201711","11","2017"
"201909","09","2019"
"202101","01","2021"
"201612","12","2016"
"202111","11","2021"
"201905","05","2019"
"202002","02","2020"
"201601","01","2016"
"201807","07","2018"
"201809","09","2018"
"201603","03","2016"
"202110","10","2021"
"201804","04","2018"
"201808","08","2018"
"201508","08","2015"
"201805","05","2018"
"201907","07","2019"
"202107","07","2021"
"202003","03","2020"
"201606","06","2016"
"201912","12","2019"
"201802","02","2018"
"201507","07","2015"
"201712","12","2017"
"201812","12","2018"
"201903","03","2019"
"202012","12","2020"
"201904","04","2019"
"201911","11","2019"
"201512","12","2015"
"202103","03","2021"
"201803","03","2018"
"201510","10","2015"
"201505","05","2015"
"202112","12","2021"
"201504","04","2015"
"202105","05","2021"
"201509","09","2015"
"201502","02","2015"
"202005","05","2020"
"201704","04","2017"
"202109","09","2021"
"202006","06","2020"
