"MAINTENANCETYPEID","TEAMID","CARBODYID","NUMBEROFMAINTENANCE","TOTALMAINTENANCECOST"
"M005","T001",1,19,9500
"M005","T005",3,15,7500
"M005","T004",3,12,6000
"M001","T001",3,18,1800
"M005","T002",2,13,6500
"M004","T005",2,9,3600
"M002","T003",1,12,2400
"M001","T002",1,7,700
"M001","T004",1,15,1500
"M003","T004",2,11,3300
"M004","T002",1,16,6400
"M001","T005",3,14,1400
"M002","T002",3,9,1800
"M005","T001",2,12,6000
"M005","T005",1,18,9000
"M004","T003",3,11,4400
"M003","T005",3,10,3000
"M003","T004",1,14,4200
"M005","T003",2,11,5500
"M002","T001",2,19,3800
"M003","T001",1,16,4800
"M003","T004",3,11,3300
"M004","T004",3,7,2800
"M004","T002",3,18,7200
"M005","T004",1,16,8000
"M004","T005",1,12,4800
"M003","T002",2,18,5400
"M003","T001",2,12,3600
"M001","T001",2,17,1700
"M005","T005",2,19,9500
"M004","T003",2,9,3600
"M001","T005",1,14,1400
"M005","T004",2,7,3500
"M004","T005",3,7,2800
"M002","T002",2,13,2600
"M001","T005",2,15,1500
"M001","T002",2,8,800
"M002","T001",3,12,2400
"M004","T004",1,8,3200
"M005","T001",3,16,8000
"M004","T004",2,9,3600
"M001","T003",1,10,1000
"M001","T002",3,16,1600
"M004","T001",2,9,3600
"M002","T005",3,9,1800
"M001","T004",3,12,1200
"M001","T004",2,20,2000
"M002","T003",3,16,3200
"M002","T002",1,16,3200
"M003","T003",1,17,5100
"M004","T003",1,15,6000
"M005","T003",3,15,7500
"M003","T003",2,7,2100
"M003","T002",1,7,2100
"M001","T003",2,13,1300
"M002","T001",1,15,3000
"M005","T003",1,24,12000
"M002","T003",2,11,2200
"M003","T005",1,20,6000
"M001","T001",1,10,1000
"M003","T002",3,13,3900
"M005","T002",3,21,10500
"M001","T003",3,15,1500
"M002","T004",2,6,1200
"M003","T001",3,14,4200
"M005","T002",1,12,6000
"M004","T001",3,13,5200
"M002","T004",1,10,2000
"M002","T005",2,23,4600
"M002","T005",1,13,2600
"M003","T005",2,11,3300
"M004","T002",2,10,4000
"M002","T004",3,14,2800
"M004","T001",1,19,7600
"M003","T003",3,16,4800
