"STOREID","CATEGORYID","TIMEID","STARID","NUM_OF_BOOKS","TOTAL_SALES"
4,4,"201702",4,2,58
3,6,"201502",5,1,29
1,1,"201502",4,1,23
1,1,"201702",4,2,46
2,1,"201604",4,1,23
6,1,"201507",4,1,23
6,1,"201601",4,2,46
3,5,"201508",5,2,52
1,4,"201702",4,1,32
3,4,"201703",4,1,32
3,4,"201612",4,1,32
2,5,"201601",4,1,27
2,5,"201502",4,1,36
6,6,"201604",5,1,29
3,2,"201606",4,3,117
6,2,"201510",4,1,39
6,2,"201601",3,1,35
4,4,"201609",4,1,32
6,5,"201501",4,2,54
1,4,"201501",4,2,52
2,4,"201511",4,1,26
5,5,"201610",1,1,38
2,5,"201604",4,1,36
5,5,"201707",4,1,36
6,6,"201601",5,1,29
1,1,"201609",4,3,71
2,5,"201604",5,1,26
6,2,"201708",4,1,39
1,4,"201705",4,3,96
2,4,"201501",4,1,32
3,4,"201704",4,1,32
6,4,"201506",4,1,32
6,5,"201509",4,3,63
2,5,"201503",1,1,38
4,1,"201502",4,2,46
6,5,"201501",5,2,52
6,2,"201509",4,1,39
5,2,"201610",3,2,70
5,1,"201507",4,1,25
1,4,"201603",4,1,32
3,4,"201502",4,1,32
5,5,"201502",4,2,54
5,5,"201511",4,1,27
1,5,"201612",4,1,27
3,5,"201708",4,1,18
5,4,"201610",4,3,78
5,4,"201703",4,2,52
3,5,"201605",1,1,38
6,5,"201601",1,1,38
3,5,"201703",4,1,36
3,5,"201601",4,1,36
4,1,"201506",4,2,48
6,1,"201708",4,1,23
2,5,"201610",5,2,52
2,5,"201503",5,1,26
2,5,"201506",5,1,26
4,2,"201607",4,1,39
3,2,"201502",3,1,35
3,2,"201703",3,2,70
1,1,"201504",4,2,50
1,4,"201609",4,1,32
6,5,"201604",4,1,27
5,2,"201507",4,1,32
2,5,"201707",4,1,18
4,5,"201502",1,1,38
5,5,"201707",1,2,76
1,3,"201504",3,1,28
1,3,"201512",3,1,28
1,3,"201702",3,1,28
6,3,"201601",3,1,28
4,1,"201503",4,1,23
6,1,"201510",4,1,23
4,4,"201502",4,1,32
3,5,"201508",4,1,27
3,6,"201706",0,2,60
4,6,"201609",5,1,29
5,5,"201512",5,2,52
1,2,"201501",3,1,35
4,4,"201506",4,2,64
2,5,"201610",4,1,27
1,2,"201701",4,2,64
2,5,"201705",1,1,38
2,5,"201506",1,2,76
3,3,"201606",3,2,56
2,5,"201503",4,1,36
2,6,"201705",5,2,58
3,1,"201601",4,1,23
1,2,"201609",4,1,39
1,2,"201705",4,3,103
5,2,"201702",4,1,39
6,4,"201509",4,3,96
6,4,"201603",4,1,32
1,2,"201504",4,1,32
2,5,"201511",4,1,18
5,5,"201605",4,1,18
