"TIMEID","YEAR","MONTH"
"201702","2017","02"
"201508","2015","08"
"201708","2017","08"
"201607","2016","07"
"201510","2015","10"
"201501","2015","01"
"201504","2015","04"
"201701","2017","01"
"201507","2015","07"
"201604","2016","04"
"201506","2015","06"
"201511","2015","11"
"201502","2015","02"
"201705","2017","05"
"201603","2016","03"
"201601","2016","01"
"201706","2017","06"
"201503","2015","03"
"201605","2016","05"
"201606","2016","06"
"201704","2017","04"
"201612","2016","12"
"201609","2016","09"
"201512","2015","12"
"201610","2016","10"
"201707","2017","07"
"201703","2017","03"
"201509","2015","09"
